order_id,customer_id,order_date,product_id,product_name,product_price,quantity
2ceb344a-e90e-4828-b886-943f0c30e4db,f5a0439b-b672-4570-831b-c84795eb720f,2023-09-26,397470dd-de44-48a5-b438-19144509e597,back,82.19,2
dac299e4-4c1c-4130-a431-72d7ae90e45e,41310921-e50e-4be2-8980-67412eac316f,2023-11-29,90310415-4afa-46f2-90c3-b7880a28bb82,vote,42.01,4
56bba1e8-ab7a-49e0-bb70-540d83909bf8,835778bb-d199-4d66-a25c-91d79e8a2d09,2024-05-31,4aba2765-031e-4d55-a49d-8a84bd016677,room,15.32,3
690ad02b-aa64-4643-ae12-55039cd61dcd,ed7df837-d0be-40bc-a1e8-298e7e1ec7c4,2023-12-27,b3f985ad-e43b-4601-9aed-af29ef347f71,data,36.18,2
cce95f6b-d2c4-4fc8-a43e-149e3f2cbc9b,257f0fa0-d94f-4e15-88ed-6db99a075c82,2024-05-13,450ce327-901f-4df7-a805-f6cb82bbbdef,thing,12.44,2
ab22e400-f56a-4163-9fb4-b93d5b4d0904,afb5728e-6978-4491-b32c-990e929041d0,2024-01-17,4edb6364-76c8-4bd7-8f33-d1458cf7e318,know,14.53,2
ca42fd0e-4450-485b-a804-22ee7623ba43,202c5213-3401-4c68-a053-79879ab6d4cf,2024-06-25,1e0e325e-d0d1-46cb-bb47-78d4bf4673aa,firm,27.24,5
1b1febd6-2629-45a8-9b6c-66f4580f0129,32aa997e-6a13-4646-b2e4-d1329face0bd,2024-01-25,0b920cd5-570e-48d0-9b7c-0be4a02d5baa,away,84.81,4
3ce50bd8-2f61-4b16-bcf1-c93e5ab9dd4e,2e49d8e6-af15-4bf5-ac1e-919aaf581a63,2024-07-25,1dbbee01-c7ba-458d-a6bf-8d81c4988b0a,drug,38.25,3
6792cde4-e990-444b-a05d-8a42b9c1b966,98728581-e55c-48b7-aea1-a646543628f0,2023-08-12,adba9010-1e06-475e-9530-456c2ef783e4,natural,84.64,2
4bf605be-9692-45a5-b4ce-ee7a53416df7,fd1da0ce-7974-46e5-aea8-9d6eae2dc83e,2024-04-22,ba880c23-138e-4624-9bce-bdd6c9d8a581,maintain,32.33,5
48d059e4-4a2b-4ee7-b379-5966348518b2,b7914145-4655-4086-9a0b-fd30b8b44b3e,2023-11-09,e5815cf8-aba3-42aa-81b6-aaa76af5b32e,resource,58.81,2
d82b04c7-2fc2-4272-bd89-8f30352a33b2,561b0b6f-87a1-47a0-b438-14435ce84a67,2024-01-09,9046cc4f-0d49-4195-9781-991e40ccdbe5,happen,57.95,2
d379c752-5db2-4892-85b2-15e8a963315a,09e5d38a-6d0c-4d0b-b5c0-2589c847cd36,2023-11-27,47fc1379-3469-45e1-8a60-7054516aaa2e,appear,30.26,1
4ef4b184-0383-4dc4-bdc4-b5941fc1854e,6fbd4deb-0982-4982-b04d-eea69842da77,2024-02-21,c30358f2-b8ae-4185-b8ac-31c1ecd13559,charge,88.24,3
f19cc489-e08f-46d4-8bdd-d17aece210d1,66de0043-4839-4dc7-8dd4-31bfe7949d8a,2023-11-12,9f4a132f-2d05-4b47-b3af-c8f77c3d8a3f,force,87.21,2
